"source_file","session_number","start_time","end_time","hydrophone_type","num_samples"
"risso001.log",1,2025-04-11 21:47:37.998,2025-04-11 21:48:07.99,"HF",3600000
"risso001.log",2,2025-04-11 21:55:07.998,2025-04-11 21:55:37.99,"HF",3600000
"risso001.log",3,2025-04-11 22:02:37.998,2025-04-11 22:03:07.99,"HF",3600000
"risso001.log",4,2025-04-11 22:10:07.998,2025-04-11 22:10:37.99,"HF",3600000
"risso001.log",5,2025-04-11 22:17:37.998,2025-04-11 22:18:07.99,"HF",3600000
"risso001.log",6,2025-04-11 22:25:07.998,2025-04-11 22:25:37.99,"HF",3600000
"risso001.log",7,2025-04-11 22:32:37.998,2025-04-11 22:33:07.99,"HF",3600000
"risso001.log",1,2025-04-11 21:40:10.004,2025-04-11 22:40:07.005,"LF",7195000
"risso001.log",8,2025-04-11 22:40:07.998,2025-04-11 22:40:37.99,"HF",3600000
"risso001.log",9,2025-04-11 22:47:37.998,2025-04-11 22:48:07.99,"HF",3600000
"risso001.log",10,2025-04-11 22:55:07.998,2025-04-11 22:55:37.99,"HF",3600000
"risso001.log",11,2025-04-11 23:02:37.998,2025-04-11 23:03:07.99,"HF",3600000
"risso001.log",12,2025-04-11 23:10:07.998,2025-04-11 23:10:37.99,"HF",3600000
"risso001.log",13,2025-04-11 23:17:37.998,2025-04-11 23:18:07.99,"HF",3600000
"risso001.log",14,2025-04-11 23:25:07.998,2025-04-11 23:25:37.99,"HF",3600000
"risso001.log",15,2025-04-11 23:32:37.998,2025-04-11 23:33:07.99,"HF",3600000
"risso001.log",2,2025-04-11 22:40:07.505,2025-04-11 23:40:07.005,"LF",7200000
"risso001.log",16,2025-04-11 23:40:07.998,2025-04-11 23:40:37.99,"HF",3600000
"risso001.log",3,2025-04-11 23:40:07.505,2025-04-11 23:44:03.005,"LF",472000
"risso002.log",1,2025-04-14 17:59:14.998,2025-04-14 17:59:44.99,"HF",3600000
"risso002.log",2,2025-04-14 18:06:44.998,2025-04-14 18:07:14.99,"HF",3600000
"risso002.log",3,2025-04-14 18:14:14.998,2025-04-14 18:14:44.99,"HF",3600000
"risso002.log",4,2025-04-14 18:21:44.998,2025-04-14 18:22:14.99,"HF",3600000
"risso002.log",5,2025-04-14 18:29:14.998,2025-04-14 18:29:44.99,"HF",3600000
"risso002.log",6,2025-04-14 18:36:44.998,2025-04-14 18:37:14.99,"HF",3600000
"risso002.log",7,2025-04-14 18:44:14.998,2025-04-14 18:44:44.99,"HF",3600000
"risso002.log",1,2025-04-14 17:51:47.004,2025-04-14 18:51:44.005,"LF",7195000
"risso002.log",8,2025-04-14 18:51:44.998,2025-04-14 18:52:14.99,"HF",3600000
"risso002.log",9,2025-04-14 18:59:14.998,2025-04-14 18:59:44.99,"HF",3600000
"risso002.log",10,2025-04-14 19:06:44.998,2025-04-14 19:07:14.99,"HF",3600000
"risso002.log",11,2025-04-14 19:14:14.998,2025-04-14 19:14:44.99,"HF",3600000
"risso002.log",12,2025-04-14 19:21:44.998,2025-04-14 19:22:14.99,"HF",3600000
"risso002.log",13,2025-04-14 19:29:14.998,2025-04-14 19:29:44.99,"HF",3600000
"risso002.log",14,2025-04-14 19:36:44.998,2025-04-14 19:37:14.99,"HF",3600000
"risso002.log",15,2025-04-14 19:44:14.998,2025-04-14 19:44:44.99,"HF",3600000
"risso002.log",2,2025-04-14 18:51:44.505,2025-04-14 19:51:44.005,"LF",7200000
"risso002.log",16,2025-04-14 19:51:44.998,2025-04-14 19:52:14.99,"HF",3600000
"risso002.log",17,2025-04-14 19:59:14.998,2025-04-14 19:59:44.99,"HF",3600000
"risso002.log",18,2025-04-14 20:06:44.998,2025-04-14 20:07:14.99,"HF",3600000
"risso002.log",19,2025-04-14 20:14:14.998,2025-04-14 20:14:44.99,"HF",3600000
"risso002.log",20,2025-04-14 20:21:44.998,2025-04-14 20:22:14.99,"HF",3600000
"risso002.log",21,2025-04-14 20:29:14.998,2025-04-14 20:29:44.99,"HF",3600000
"risso002.log",22,2025-04-14 20:36:44.998,2025-04-14 20:37:14.99,"HF",3600000
"risso002.log",23,2025-04-14 20:44:14.998,2025-04-14 20:44:44.99,"HF",3600000
"risso002.log",3,2025-04-14 19:51:44.505,2025-04-14 20:51:44.005,"LF",7200000
"risso002.log",24,2025-04-14 20:51:44.998,2025-04-14 20:52:14.99,"HF",3600000
"risso002.log",25,2025-04-14 20:59:14.998,2025-04-14 20:59:44.99,"HF",3600000
"risso002.log",26,2025-04-14 21:06:44.998,2025-04-14 21:07:14.99,"HF",3600000
"risso002.log",27,2025-04-14 21:14:14.998,2025-04-14 21:14:44.99,"HF",3600000
"risso002.log",28,2025-04-14 21:21:44.998,2025-04-14 21:22:14.99,"HF",3600000
"risso002.log",29,2025-04-14 21:29:14.998,2025-04-14 21:29:44.99,"HF",3600000
"risso002.log",30,2025-04-14 21:36:44.998,2025-04-14 21:37:14.99,"HF",3600000
"risso002.log",31,2025-04-14 21:44:14.998,2025-04-14 21:44:44.99,"HF",3600000
"risso002.log",4,2025-04-14 20:51:44.505,2025-04-14 21:51:44.005,"LF",7200000
"risso002.log",32,2025-04-14 21:51:44.998,2025-04-14 21:52:14.99,"HF",3600000
"risso002.log",33,2025-04-14 21:59:14.998,2025-04-14 21:59:44.99,"HF",3600000
"risso002.log",34,2025-04-14 22:06:44.998,2025-04-14 22:07:14.99,"HF",3600000
"risso002.log",35,2025-04-14 22:14:14.998,2025-04-14 22:14:44.99,"HF",3600000
"risso002.log",36,2025-04-14 22:21:44.998,2025-04-14 22:22:14.99,"HF",3600000
"risso002.log",37,2025-04-14 22:29:14.998,2025-04-14 22:29:44.99,"HF",3600000
"risso002.log",38,2025-04-14 22:36:44.998,2025-04-14 22:37:14.99,"HF",3600000
"risso002.log",39,2025-04-14 22:44:14.998,2025-04-14 22:44:44.99,"HF",3600000
"risso002.log",5,2025-04-14 21:51:44.505,2025-04-14 22:51:44.005,"LF",7200000
"risso002.log",40,2025-04-14 22:51:44.998,2025-04-14 22:52:14.99,"HF",3600000
"risso002.log",41,2025-04-14 22:59:14.998,2025-04-14 22:59:44.99,"HF",3600000
"risso002.log",42,2025-04-14 23:06:44.998,2025-04-14 23:07:14.99,"HF",3600000
"risso002.log",43,2025-04-14 23:14:14.998,2025-04-14 23:14:44.99,"HF",3600000
"risso002.log",44,2025-04-14 23:21:44.998,2025-04-14 23:22:14.99,"HF",3600000
"risso002.log",45,2025-04-14 23:29:14.998,2025-04-14 23:29:44.99,"HF",3600000
"risso002.log",46,2025-04-14 23:36:44.998,2025-04-14 23:37:14.99,"HF",3600000
"risso002.log",47,2025-04-14 23:44:14.998,2025-04-14 23:44:44.99,"HF",3600000
"risso002.log",6,2025-04-14 22:51:44.505,2025-04-14 23:51:44.005,"LF",7200000
"risso002.log",48,2025-04-14 23:51:44.998,2025-04-14 23:52:14.99,"HF",3600000
"risso002.log",49,2025-04-14 23:59:14.998,2025-04-14 23:59:44.99,"HF",3600000
"risso002.log",50,2025-04-15 00:06:44.998,2025-04-15 00:07:14.99,"HF",3600000
"risso002.log",51,2025-04-15 00:14:14.998,2025-04-15 00:14:44.99,"HF",3600000
"risso002.log",52,2025-04-15 00:21:44.998,2025-04-15 00:22:14.99,"HF",3600000
"risso002.log",53,2025-04-15 00:29:14.998,2025-04-15 00:29:44.99,"HF",3600000
"risso002.log",54,2025-04-15 00:36:44.998,2025-04-15 00:37:14.99,"HF",3600000
"risso002.log",55,2025-04-15 00:44:14.998,2025-04-15 00:44:44.99,"HF",3600000
"risso002.log",7,2025-04-14 23:51:44.505,2025-04-15 00:51:44.005,"LF",7200000
"risso002.log",56,2025-04-15 00:51:44.998,2025-04-15 00:52:14.99,"HF",3600000
"risso002.log",57,2025-04-15 00:59:14.998,2025-04-15 00:59:44.99,"HF",3600000
"risso002.log",58,2025-04-15 01:06:44.998,2025-04-15 01:07:14.99,"HF",3600000
"risso002.log",59,2025-04-15 01:14:14.998,2025-04-15 01:14:44.99,"HF",3600000
"risso002.log",60,2025-04-15 01:21:44.998,2025-04-15 01:22:14.99,"HF",3600000
"risso002.log",61,2025-04-15 01:29:14.998,2025-04-15 01:29:44.99,"HF",3600000
"risso002.log",62,2025-04-15 01:36:44.998,2025-04-15 01:37:14.99,"HF",3600000
"risso002.log",63,2025-04-15 01:44:14.998,2025-04-15 01:44:44.99,"HF",3600000
"risso002.log",8,2025-04-15 00:51:44.505,2025-04-15 01:51:44.005,"LF",7200000
"risso002.log",64,2025-04-15 01:51:44.998,2025-04-15 01:52:14.99,"HF",3600000
"risso002.log",65,2025-04-15 01:59:14.998,2025-04-15 01:59:44.99,"HF",3600000
"risso002.log",66,2025-04-15 02:06:44.998,2025-04-15 02:07:14.99,"HF",3600000
"risso002.log",67,2025-04-15 02:14:14.998,2025-04-15 02:14:44.99,"HF",3600000
"risso002.log",68,2025-04-15 02:21:44.998,2025-04-15 02:22:14.99,"HF",3600000
"risso002.log",69,2025-04-15 02:29:14.998,2025-04-15 02:29:44.99,"HF",3600000
"risso002.log",70,2025-04-15 02:36:44.998,2025-04-15 02:37:14.99,"HF",3600000
"risso002.log",71,2025-04-15 02:44:14.998,2025-04-15 02:44:44.99,"HF",3600000
"risso002.log",9,2025-04-15 01:51:44.505,2025-04-15 02:51:44.005,"LF",7200000
"risso002.log",72,2025-04-15 02:51:44.998,2025-04-15 02:52:14.99,"HF",3600000
"risso002.log",73,2025-04-15 02:59:14.998,2025-04-15 02:59:44.99,"HF",3600000
"risso002.log",74,2025-04-15 03:06:44.998,2025-04-15 03:07:14.99,"HF",3600000
"risso002.log",75,2025-04-15 03:14:14.998,2025-04-15 03:14:44.99,"HF",3600000
"risso002.log",76,2025-04-15 03:21:44.998,2025-04-15 03:22:14.99,"HF",3600000
"risso002.log",77,2025-04-15 03:29:14.998,2025-04-15 03:29:44.99,"HF",3600000
"risso002.log",78,2025-04-15 03:36:44.998,2025-04-15 03:37:14.99,"HF",3600000
"risso002.log",79,2025-04-15 03:44:14.998,2025-04-15 03:44:44.99,"HF",3600000
"risso002.log",10,2025-04-15 02:51:44.505,2025-04-15 03:51:44.005,"LF",7200000
"risso002.log",80,2025-04-15 03:51:44.998,2025-04-15 03:52:14.99,"HF",3600000
"risso002.log",81,2025-04-15 03:59:14.998,2025-04-15 03:59:44.99,"HF",3600000
"risso002.log",82,2025-04-15 04:06:44.998,2025-04-15 04:07:14.99,"HF",3600000
"risso002.log",83,2025-04-15 04:14:14.998,2025-04-15 04:14:44.99,"HF",3600000
"risso002.log",84,2025-04-15 04:21:44.998,2025-04-15 04:22:14.99,"HF",3600000
"risso002.log",85,2025-04-15 04:29:14.998,2025-04-15 04:29:44.99,"HF",3600000
"risso002.log",86,2025-04-15 04:36:44.998,2025-04-15 04:37:14.99,"HF",3600000
"risso002.log",87,2025-04-15 04:44:14.998,2025-04-15 04:44:44.99,"HF",3600000
"risso002.log",11,2025-04-15 03:51:44.505,2025-04-15 04:51:44.005,"LF",7200000
"risso002.log",88,2025-04-15 04:51:44.998,2025-04-15 04:52:14.99,"HF",3600000
"risso002.log",89,2025-04-15 04:59:14.998,2025-04-15 04:59:44.99,"HF",3600000
"risso002.log",90,2025-04-15 05:06:44.998,2025-04-15 05:07:14.99,"HF",3600000
"risso002.log",91,2025-04-15 05:14:14.998,2025-04-15 05:14:44.99,"HF",3600000
"risso002.log",92,2025-04-15 05:21:44.998,2025-04-15 05:22:14.99,"HF",3600000
"risso002.log",93,2025-04-15 05:29:14.998,2025-04-15 05:29:44.99,"HF",3600000
"risso002.log",94,2025-04-15 05:36:44.998,2025-04-15 05:37:14.99,"HF",3600000
"risso002.log",95,2025-04-15 05:44:14.998,2025-04-15 05:44:44.99,"HF",3600000
"risso002.log",12,2025-04-15 04:51:44.505,2025-04-15 05:51:44.005,"LF",7200000
"risso002.log",96,2025-04-15 05:51:44.998,2025-04-15 05:52:14.99,"HF",3600000
"risso002.log",97,2025-04-15 05:59:14.998,2025-04-15 05:59:44.99,"HF",3600000
"risso002.log",98,2025-04-15 06:06:44.998,2025-04-15 06:07:14.99,"HF",3600000
"risso002.log",99,2025-04-15 06:14:14.998,2025-04-15 06:14:44.99,"HF",3600000
"risso002.log",100,2025-04-15 06:21:44.998,2025-04-15 06:22:14.99,"HF",3600000
"risso002.log",101,2025-04-15 06:29:14.998,2025-04-15 06:29:44.99,"HF",3600000
"risso002.log",102,2025-04-15 06:36:44.998,2025-04-15 06:37:14.99,"HF",3600000
"risso002.log",103,2025-04-15 06:44:14.998,2025-04-15 06:44:44.99,"HF",3600000
"risso002.log",13,2025-04-15 05:51:44.505,2025-04-15 06:51:44.005,"LF",7200000
"risso002.log",104,2025-04-15 06:51:44.998,2025-04-15 06:52:14.99,"HF",3600000
"risso002.log",105,2025-04-15 06:59:14.998,2025-04-15 06:59:44.99,"HF",3600000
"risso002.log",106,2025-04-15 07:06:44.998,2025-04-15 07:07:14.99,"HF",3600000
"risso002.log",107,2025-04-15 07:14:14.998,2025-04-15 07:14:44.99,"HF",3600000
"risso002.log",108,2025-04-15 07:21:44.998,2025-04-15 07:22:14.99,"HF",3600000
"risso002.log",109,2025-04-15 07:29:14.998,2025-04-15 07:29:44.99,"HF",3600000
"risso002.log",110,2025-04-15 07:36:44.998,2025-04-15 07:37:14.99,"HF",3600000
"risso002.log",111,2025-04-15 07:44:14.998,2025-04-15 07:44:44.99,"HF",3600000
"risso002.log",14,2025-04-15 06:51:44.505,2025-04-15 07:51:44.005,"LF",7200000
"risso002.log",112,2025-04-15 07:51:44.998,2025-04-15 07:52:14.99,"HF",3600000
"risso002.log",113,2025-04-15 07:59:14.998,2025-04-15 07:59:44.99,"HF",3600000
"risso002.log",114,2025-04-15 08:06:44.998,2025-04-15 08:07:14.99,"HF",3600000
"risso002.log",115,2025-04-15 08:14:14.998,2025-04-15 08:14:44.99,"HF",3600000
"risso002.log",116,2025-04-15 08:21:44.998,2025-04-15 08:22:14.99,"HF",3600000
"risso002.log",117,2025-04-15 08:29:14.998,2025-04-15 08:29:44.99,"HF",3600000
"risso002.log",118,2025-04-15 08:36:44.998,2025-04-15 08:37:14.99,"HF",3600000
"risso002.log",119,2025-04-15 08:44:14.998,2025-04-15 08:44:44.99,"HF",3600000
"risso002.log",15,2025-04-15 07:51:44.505,2025-04-15 08:51:44.005,"LF",7200000
"risso002.log",120,2025-04-15 08:51:44.998,2025-04-15 08:52:14.99,"HF",3600000
"risso002.log",121,2025-04-15 08:59:14.998,2025-04-15 08:59:44.99,"HF",3600000
"risso002.log",122,2025-04-15 09:06:44.998,2025-04-15 09:07:14.99,"HF",3600000
"risso002.log",123,2025-04-15 09:14:14.998,2025-04-15 09:14:44.99,"HF",3600000
"risso002.log",124,2025-04-15 09:21:44.998,2025-04-15 09:22:14.99,"HF",3600000
"risso002.log",125,2025-04-15 09:29:14.998,2025-04-15 09:29:44.99,"HF",3600000
"risso002.log",126,2025-04-15 09:36:44.998,2025-04-15 09:37:14.99,"HF",3600000
"risso002.log",127,2025-04-15 09:44:14.998,2025-04-15 09:44:44.99,"HF",3600000
"risso002.log",16,2025-04-15 08:51:44.505,2025-04-15 09:51:44.005,"LF",7200000
"risso002.log",128,2025-04-15 09:51:44.998,2025-04-15 09:52:14.99,"HF",3600000
"risso002.log",129,2025-04-15 09:59:14.998,2025-04-15 09:59:44.99,"HF",3600000
"risso002.log",130,2025-04-15 10:06:44.998,2025-04-15 10:07:14.99,"HF",3600000
"risso002.log",131,2025-04-15 10:14:14.998,2025-04-15 10:14:44.99,"HF",3600000
"risso002.log",132,2025-04-15 10:21:44.998,2025-04-15 10:22:14.99,"HF",3600000
"risso002.log",133,2025-04-15 10:29:14.998,2025-04-15 10:29:44.99,"HF",3600000
"risso002.log",134,2025-04-15 10:36:44.998,2025-04-15 10:37:14.99,"HF",3600000
"risso002.log",135,2025-04-15 10:44:14.998,2025-04-15 10:44:44.99,"HF",3600000
"risso002.log",17,2025-04-15 09:51:44.505,2025-04-15 10:51:44.005,"LF",7200000
"risso002.log",136,2025-04-15 10:51:44.998,2025-04-15 10:52:14.99,"HF",3600000
"risso002.log",137,2025-04-15 10:59:14.998,2025-04-15 10:59:44.99,"HF",3600000
"risso002.log",138,2025-04-15 11:06:44.998,2025-04-15 11:07:14.99,"HF",3600000
"risso002.log",139,2025-04-15 11:14:14.998,2025-04-15 11:14:44.99,"HF",3600000
"risso002.log",140,2025-04-15 11:21:44.998,2025-04-15 11:22:14.99,"HF",3600000
"risso002.log",141,2025-04-15 11:29:14.998,2025-04-15 11:29:44.99,"HF",3600000
"risso002.log",142,2025-04-15 11:36:44.998,2025-04-15 11:37:14.99,"HF",3600000
"risso002.log",143,2025-04-15 11:44:14.998,2025-04-15 11:44:44.99,"HF",3600000
"risso002.log",18,2025-04-15 10:51:44.505,2025-04-15 11:51:44.005,"LF",7200000
"risso002.log",144,2025-04-15 11:51:44.998,2025-04-15 11:52:14.99,"HF",3600000
"risso002.log",145,2025-04-15 11:59:14.998,2025-04-15 11:59:44.99,"HF",3600000
"risso002.log",146,2025-04-15 12:06:44.998,2025-04-15 12:07:14.99,"HF",3600000
"risso002.log",147,2025-04-15 12:14:14.998,2025-04-15 12:14:44.99,"HF",3600000
"risso002.log",148,2025-04-15 12:21:44.998,2025-04-15 12:22:14.99,"HF",3600000
"risso002.log",149,2025-04-15 12:29:14.998,2025-04-15 12:29:44.99,"HF",3600000
"risso002.log",150,2025-04-15 12:36:44.998,2025-04-15 12:37:14.99,"HF",3600000
"risso002.log",151,2025-04-15 12:44:14.998,2025-04-15 12:44:44.99,"HF",3600000
"risso002.log",19,2025-04-15 11:51:44.505,2025-04-15 12:51:44.005,"LF",7200000
"risso002.log",152,2025-04-15 12:51:44.998,2025-04-15 12:52:14.99,"HF",3600000
